customer_id,story_segment,health_status,lifecycle_stage,campaign_name,offer,channel,message
CUST00001,WELLNESS_SEEKER,AT_RISK,HIBERNATING,Wellness Habit Bundle,URGENT: 15% off Wellness Collection,EMAIL,Support your wellness journey with products designed to help you build healthy habits that last.
CUST00002,WELLNESS_SEEKER,AT_RISK,ACTIVE,Wellness Habit Bundle,URGENT: 15% off Wellness Collection,EMAIL,Support your wellness journey with products designed to help you build healthy habits that last.
CUST00003,WELLNESS_SEEKER,LOYAL,LOYAL,Wellness Habit Bundle,15% off Wellness Collection,RCS,Support your wellness journey with products designed to help you build healthy habits that last.
CUST00004,ECO_CONSCIOUS_HOME,CHAMPION,CHAMPION,Healthy Home Collection,Free Shipping on Eco Bundles,EMAIL,Continue building a more sustainable lifestyle with our eco-conscious essentials.
CUST00005,GENERAL,LOYAL,LOYAL,Personalized Recommendations,10% off Selected Products,RCS,Discover products chosen specifically for customers with similar preferences.
CUST00006,GENERAL,LOYAL,LOYAL,Personalized Recommendations,10% off Selected Products,WHATSAPP,Discover products chosen specifically for customers with similar preferences.
CUST00007,ECO_CONSCIOUS_HOME,CHAMPION,CHAMPION,Healthy Home Collection,Free Shipping on Eco Bundles,RCS,Continue building a more sustainable lifestyle with our eco-conscious essentials.
CUST00008,GENERAL,CHAMPION,CHAMPION,Personalized Recommendations,10% off Selected Products,WHATSAPP,Discover products chosen specifically for customers with similar preferences.
CUST00009,ECO_CONSCIOUS_HOME,CHAMPION,CHAMPION,Healthy Home Collection,Free Shipping on Eco Bundles,WHATSAPP,Continue building a more sustainable lifestyle with our eco-conscious essentials.
CUST00010,GENERAL,AT_RISK,ACTIVE,Personalized Recommendations,URGENT: 10% off Selected Products,EMAIL,Discover products chosen specifically for customers with similar preferences.
CUST00011,WELLNESS_SEEKER,LOYAL,LOYAL,Wellness Habit Bundle,15% off Wellness Collection,RCS,Support your wellness journey with products designed to help you build healthy habits that last.
CUST00012,WELLNESS_SEEKER,CHAMPION,CHAMPION,Wellness Habit Bundle,15% off Wellness Collection,WHATSAPP,Support your wellness journey with products designed to help you build healthy habits that last.
