product_id,product_name,recommended_product_id,recommended_product_name,co_purchase_count
PROD00051,Multivitamin Women 60 Tablets,PROD00070,Lavender Pillow Mist 100ml,247
PROD00051,Multivitamin Women 60 Tablets,PROD00054,Vitamin D3 + K2 60 Tablets,241
PROD00051,Multivitamin Women 60 Tablets,PROD00063,Protein Granola Bars 6pk,232
PROD00055,Probiotic 10B CFU 30 Capsules,PROD00057,Collagen Peptides Powder 200g,240
PROD00055,Probiotic 10B CFU 30 Capsules,PROD00056,Iron + Folic Acid 60 Tablets,240
PROD00055,Probiotic 10B CFU 30 Capsules,PROD00060,Turmeric Curcumin 500mg 60 Caps,237
PROD00059,Triphala Churna 100g,PROD00069,Guided Mindfulness Journal,246
PROD00059,Triphala Churna 100g,PROD00056,Iron + Folic Acid 60 Tablets,231
PROD00059,Triphala Churna 100g,PROD00062,Giloy Tulsi Immunity Drops 30ml,225
PROD00068,Resistance Bands Set 5-Level,PROD00054,Vitamin D3 + K2 60 Tablets,227
PROD00068,Resistance Bands Set 5-Level,PROD00057,Collagen Peptides Powder 200g,226
PROD00068,Resistance Bands Set 5-Level,PROD00059,Triphala Churna 100g,224
PROD00057,Collagen Peptides Powder 200g,PROD00060,Turmeric Curcumin 500mg 60 Caps,249
PROD00057,Collagen Peptides Powder 200g,PROD00070,Lavender Pillow Mist 100ml,248
PROD00057,Collagen Peptides Powder 200g,PROD00056,Iron + Folic Acid 60 Tablets,245
PROD00058,Ashwagandha KSM-66 60 Capsules,PROD00054,Vitamin D3 + K2 60 Tablets,253
PROD00058,Ashwagandha KSM-66 60 Capsules,PROD00070,Lavender Pillow Mist 100ml,243
PROD00058,Ashwagandha KSM-66 60 Capsules,PROD00053,Omega-3 Fish Oil 60 Softgels,228
PROD00062,Giloy Tulsi Immunity Drops 30ml,PROD00060,Turmeric Curcumin 500mg 60 Caps,230
PROD00062,Giloy Tulsi Immunity Drops 30ml,PROD00070,Lavender Pillow Mist 100ml,229
PROD00062,Giloy Tulsi Immunity Drops 30ml,PROD00056,Iron + Folic Acid 60 Tablets,227
PROD00063,Protein Granola Bars 6pk,PROD00061,Moringa Leaf Powder 100g,242
PROD00063,Protein Granola Bars 6pk,PROD00052,Multivitamin Men 60 Tablets,233
PROD00063,Protein Granola Bars 6pk,PROD00057,Collagen Peptides Powder 200g,232
PROD00054,Vitamin D3 + K2 60 Tablets,PROD00070,Lavender Pillow Mist 100ml,254
PROD00054,Vitamin D3 + K2 60 Tablets,PROD00058,Ashwagandha KSM-66 60 Capsules,253
PROD00054,Vitamin D3 + K2 60 Tablets,PROD00057,Collagen Peptides Powder 200g,242
PROD00061,Moringa Leaf Powder 100g,PROD00069,Guided Mindfulness Journal,251
PROD00061,Moringa Leaf Powder 100g,PROD00063,Protein Granola Bars 6pk,242
PROD00061,Moringa Leaf Powder 100g,PROD00070,Lavender Pillow Mist 100ml,240
PROD00008,Baby Sunscreen SPF 50 100ml,PROD00078,Smoke & CO Detector Combo,151
PROD00008,Baby Sunscreen SPF 50 100ml,PROD00075,Beeswax Wraps Set of 3,149
PROD00008,Baby Sunscreen SPF 50 100ml,PROD00071,Plant-Based Multi-Surface Cleaner 500ml,149
PROD00010,Organic Nappy Rash Balm 75g,PROD00072,Eco Laundry Liquid 1L,165
PROD00010,Organic Nappy Rash Balm 75g,PROD00077,Child Safety Cabinet Locks 8pk,163
PROD00010,Organic Nappy Rash Balm 75g,PROD00079,Reusable Grocery Bags Set 5pk,161
PROD00056,Iron + Folic Acid 60 Tablets,PROD00057,Collagen Peptides Powder 200g,245
PROD00056,Iron + Folic Acid 60 Tablets,PROD00052,Multivitamin Men 60 Tablets,240
PROD00056,Iron + Folic Acid 60 Tablets,PROD00055,Probiotic 10B CFU 30 Capsules,240
PROD00065,Raw Wildflower Honey 500g,PROD00052,Multivitamin Men 60 Tablets,241
PROD00065,Raw Wildflower Honey 500g,PROD00058,Ashwagandha KSM-66 60 Capsules,227
PROD00065,Raw Wildflower Honey 500g,PROD00061,Moringa Leaf Powder 100g,226
PROD00072,Eco Laundry Liquid 1L,PROD00078,Smoke & CO Detector Combo,542
PROD00072,Eco Laundry Liquid 1L,PROD00077,Child Safety Cabinet Locks 8pk,528
PROD00072,Eco Laundry Liquid 1L,PROD00079,Reusable Grocery Bags Set 5pk,523
PROD00074,Stainless Steel Water Bottle 750ml,PROD00075,Beeswax Wraps Set of 3,536
PROD00074,Stainless Steel Water Bottle 750ml,PROD00077,Child Safety Cabinet Locks 8pk,522
PROD00074,Stainless Steel Water Bottle 750ml,PROD00072,Eco Laundry Liquid 1L,516
PROD00079,Reusable Grocery Bags Set 5pk,PROD00078,Smoke & CO Detector Combo,561
PROD00079,Reusable Grocery Bags Set 5pk,PROD00073,BPA-Free Food Storage Set 5pc,547
